Updated.Search.Term,Original,UniqueID,Type,Gender,Nationality
"""Patrizio di Marco""",,Executives-083,Executives,MALE,ITALY
"""Steven Lowy""",,Executives-084,Executives,MALE,AUSTRALIA
"""Peter Lowy""",,Executives-085,Executives,MALE,AUSTRALIA
"""Philip Green""",,Executives-086,Executives,MALE,UK
"""Pierre Alexis Dumas""",,Executives-087,Executives,MALE,FRANCE
"""Pierre-Yves Roussel""",,Executives-088,Executives,MALE,FRANCE
"""Pietro Beccari""",,Executives-089,Executives,MALE,ITALY
"""Raffaello Napoleone""",,Executives-090,Executives,MALE,ITALY
"""Raphael le Masne de Chermont""",,Executives-091,Executives,MALE,FRANCE
"""Remo Ruffini""",,Executives-092,Executives,MALE,ITALY
"""Renzo Rosso""",,Executives-093,Executives,MALE,ITALY
"""Richard Baker""",,Executives-094,Executives,MALE,USA
"""Robert Duffy""",,Executives-095,Executives,MALE,USA
"""Rodrigo Bazan""",,Executives-096,Executives,MALE,ARGENTINA
"""Sanjay Kapoor""",,Executives-097,Executives,MALE,INDIA
"""Sebastian Suhl""",,Executives-098,Executives,MALE,USA
"""SŽbastien Fabre""",,Executives-099,Executives,MALE,FRANCE
"""Sheikh Abdullah Binzagr""",,Executives-100,Executives,MALE,SAUDI ARABIA
"""Shirley Cook""",,Executives-101,Executives,FEMALE,USA
"""Shunichi Sugioka""",,Executives-102,Executives,MALE,JAPAN
"""Sidney Toledano""",,Executives-103,Executives,MALE,FRANCE/MOROCCO
"""Silas Chou""",,Executives-104,Executives,MALE,CHINA
"""Stefan Persson""",,Executives-105,Executives,MALE,SWEDEN
"""Stefano Sassi""",,Executives-106,Executives,MALE,ITALY
"""Stuart McCullough""",,Executives-107,Executives,MALE,AUSTRALIA
"""Tadashi Yanai""",,Executives-108,Executives,MALE,JAPAN
"""Tamara Mellon""",,Executives-109,Executives,FEMALE,USA
"""Tikka Shatrujit Singh""",,Executives-110,Executives,MALE,INDIA
"""Tom Florio""",,Executives-111,Executives,MALE,USA
"""Tony SalamŽ""",,Executives-112,Executives,MALE,LEBANON
"""Tos Chirathivat""",,Executives-113,Executives,MALE,THAILAND
"""Tran Thi Hoai Anh""",,Executives-114,Executives,FEMALE,VIETNAM
"""Vittorio Radice""",,Executives-115,Executives,MALE,ITALY
"""Wen Zhou""",,Executives-116,Executives,FEMALE,USA
"""William Bissell""",,Executives-117,Executives,MALE,INDIA
"""Wissam Al Mana""",,Executives-118,Executives,MALE,QATAR
"""Xia Hua""",,Executives-119,Executives,FEMALE,CHINA
"""Bob Sauerberg""",,Executives-120,Executives,MALE,USA
"""Caroline Brown""",,Executives-121,Executives,FEMALE,USA
"""Eli Manasseh 'Nash' Benjamin""",,Executives-122,Executives,MALE,SINGAPORE
"""Jaime Soler Bottinelli""",,Executives-123,Executives,MALE,CHILE
"""Jay Penske""",,Executives-124,Executives,MALE,USA
"""Karen Katz""",,Executives-125,Executives,FEMALE,USA
"""Karl-Johan Persson""",,Executives-126,Executives,MALE,SWEDEN
"""Matthew Moneypenny""",,Executives-127,Executives,MALE,USA
"""Pablo Isla Alvarez de Tejera""",,Executives-128,Executives,MALE,SPAIN
"""Roberto Vedovotto""",,Executives-129,Executives,MALE,ITALY
"""Allen Yang""",,Fashion2.0-001,Fashion2.0,MALE,CHINA
"""Andy Dunn""",,Fashion2.0-002,Fashion2.0,MALE,USA
"""Aslaug Magnusdottir""",,Fashion2.0-003,Fashion2.0,FEMALE,ICELAND
"""Cathy Beaudoin""",,Fashion2.0-004,Fashion2.0,FEMALE,USA
"""Chris Kyvetos""",,Fashion2.0-005,Fashion2.0,MALE,AUSTRALIA
"""Chris Morton""",,Fashion2.0-006,Fashion2.0,MALE,UK
"""Demet Mutlu""",,Fashion2.0-007,Fashion2.0,FEMALE,TURKEY
"""Federico Marchetti""",,Fashion2.0-008,Fashion2.0,MALE,ITALY
"""George Ji Wenhong""",,Fashion2.0-009,Fashion2.0,MALE,CHINA
"""Ivy Ross""",,Fashion2.0-010,Fashion2.0,FEMALE,USA
"""Jennifer Hyman""",,Fashion2.0-011,Fashion2.0,FEMALE,USA
"""John Skelton""",,Fashion2.0-012,Fashion2.0,MALE,UK
"""Jonathan Ive""",,Fashion2.0-013,Fashion2.0,MALE,UK
"""JosŽ Neves""",,Fashion2.0-014,Fashion2.0,MALE,PORTUGAL
"""Joseph Einhorn""",,Fashion2.0-015,Fashion2.0,MALE,USA
"""Lauren Santo Domingo""",,Fashion2.0-016,Fashion2.0,FEMALE,USA
"""Mukesh Bansal""",,Fashion2.0-017,Fashion2.0,MALE,INDIA
"""Natalie Massenet""",,Fashion2.0-018,Fashion2.0,FEMALE,USA
"""Nick Robertson""",,Fashion2.0-019,Fashion2.0,MALE,UK
"""Oliver Samwer""",,Fashion2.0-020,Fashion2.0,MALE,GERMANY
"""Rami Atallah""",,Fashion2.0-021,Fashion2.0,MALE,CANADA
"""Sophia Amoruso""",,Fashion2.0-022,Fashion2.0,FEMALE,USA
"""Tom Chapman""",,Fashion2.0-023,Fashion2.0,MALE,UK
"""Ruth Chapman""",,Fashion2.0-024,Fashion2.0,FEMALE,USA
"""VIPStore""",,Fashion2.0-025,Fashion2.0,ORGANISATION,CHINA
"""Sneakerboy""",,Fashion2.0-026,Fashion2.0,ORGANISATION,AUSTRALIA
"""Trendyol""",,Fashion2.0-027,Fashion2.0,ORGANISATION,TURKEY
"""Yoox""",,Fashion2.0-028,Fashion2.0,ORGANISATION,ITALY
"""Moda Operandi""",,Fashion2.0-029,Fashion2.0,ORGANISATION,USA
"""Myntra""",,Fashion2.0-030,Fashion2.0,ORGANISATION,INDIA
"""Net-a-Porter"" OR netaporter",,Fashion2.0-031,Fashion2.0,ORGANISATION,USA
"""asos""",,Fashion2.0-032,Fashion2.0,ORGANISATION,UK
"""LN-CC""",,Fashion2.0-033,Fashion2.0,ORGANISATION,UK
"""Rent the Runway""",,Fashion2.0-034,Fashion2.0,ORGANISATION,USA
"""FarFetch""",,Fashion2.0-035,Fashion2.0,ORGANISATION,PORTUGAL
"""ssense""",,Fashion2.0-036,Fashion2.0,ORGANISATION,CANADA
"""Nasty Gal""",,Fashion2.0-037,Fashion2.0,ORGANISATION,USA
"""MatchesFashion""",,Fashion2.0-038,Fashion2.0,ORGANISATION,UK
rewardstyle,rewardstyle,Fashion2.0-039,Fashion2.0,ORGANISATION,USA
ringly,ringly,Fashion2.0-040,Fashion2.0,ORGANISATION,USA
"""Amber Venz Box""",,Fashion2.0-041,Fashion2.0,FEMALE,USA
"""Christina Mercando""",,Fashion2.0-042,Fashion2.0,FEMALE,USA
"""Julie Wainwright""",,Fashion2.0-043,Fashion2.0,FEMALE,USA
"""Kevin Systrom""",,Fashion2.0-044,Fashion2.0,MALE,USA
"""Paul Deneve""",,Fashion2.0-045,Fashion2.0,MALE,BELGUIM
"""ashadedviewonfashion""", ashadedviewonfashion,Media-001,Media,ORGANISATION,USA
"""Leafgreener""", Leafgreener,Media-002,Media,ORGANISATION,CHINA
"""CR Fashion""","""CR Fashion""",Media-003,Media,ORGANISATION,FRANCE
"""HarperŐs Bazaar"" OR ""Harpers Bazaar""","""HarperŐs Bazaar"" OR ""Harpers Bazaar""",Media-004,Media,ORGANISATION,USA
"""LŐUomo Vogue""","""LŐUomo Vogue""",Media-005,Media,ORGANISATION,ITALY
"""Mr Porter""","""Mr Porter""",Media-006,Media,ORGANISATION,UK
"""Shine by Three""","""Shine by Three""",Media-007,Media,ORGANISATION,AUSTRALIA
"""Style Bubble""","""Style Bubble""",Media-008,Media,ORGANISATION,UK
"""Tokyo Dandy""","""Tokyo Dandy""",Media-009,Media,ORGANISATION,JAPAN
"""Trends Media Group""","""Trends Media Group""",Media-010,Media,ORGANISATION,CHINA
"""Vanity Fair""","""Vanity Fair""",Media-011,Media,ORGANISATION,USA
"""W Magazine""","""W Magazine""",Media-012,Media,ORGANISATION,USA
"""Women's Wear Daily""","""Women's Wear Daily""",Media-013,Media,ORGANISATION,USA
"""032c""",032c,Media-014,Media,ORGANISATION,GERMANY
"""Alexander Fury""",Alexander Fury,Media-015,Media,MALE,UK
"""Alexandra Shulman""",Alexandra Shulman,Media-016,Media,FEMALE,UK
"""Amy Odell""",Amy Odell,Media-017,Media,FEMALE,USA
"""Angelica Cheung""",Angelica Cheung,Media-018,Media,FEMALE,CHINA
"""Angelo Flaccavento""",Angelo Flaccavento,Media-019,Media,MALE,ITALY
"""Anna dello Russo""",Anna dello Russo,Media-020,Media,FEMALE,ITALY
"""Anna Wintour""",Anna Wintour,Media-021,Media,FEMALE,UK
"""Ari Seth Cohen""",Ari Seth Cohen,Media-022,Media,MALE,USA
"""Ariel Foxman""",Ariel Foxman,Media-023,Media,MALE,USA
"""Babeth Djian""",Babeth Djian,Media-024,Media,FEMALE,FRANCE
"""Bandana Tewari""",Bandana Tewari,Media-025,Media,FEMALE,INDIA
"""Bridget Foley""",Bridget Foley,Media-026,Media,FEMALE,USA
"""Bryan Grey Yambao""",Bryan Grey Yambao,Media-027,Media,MALE,PHILLIPPINES
"""bryanboy""",bryanboy,Media-028,Media,ORGANISATION,PHILLIPPINES
"""buro247""",buro247,Media-029,Media,ORGANISATION,RUSSIA
"""Carine Roitfeld""",Carine Roitfeld,Media-030,Media,FEMALE,FRANCE
"""Caroline Issa""",Caroline Issa,Media-031,Media,FEMALE,UK
"""Cathy Horyn""",Cathy Horyn,Media-032,Media,FEMALE,USA
"""Chiara Ferragni""",Chiara Ferragni,Media-033,Media,FEMALE,ITALY
"""Colin McDowell""",Colin McDowell,Media-034,Media,MALE,UK
"""Conde_ Nast""",Conde_ Nast,Media-035,Media,ORGANISATION,USA
"""Cosmopolitan""",Cosmopolitan,Media-036,Media,ORGANISATION,
"""Dan Bailey""",Dan Bailey,Media-037,Media,MALE,JAPAN
"""Dan Peres""",Dan Peres,Media-038,Media,MALE,USA
"""Daniela Falc‹o""",Daniela Falc‹o,Media-039,Media,FEMALE,BRAZIL
"""David Vivirido""",David Vivirido,Media-040,Media,MALE,SPAIN
"""Deborah Needleman""",Deborah Needleman,Media-041,Media,FEMALE,USA
"""Derek Blasberg""",Derek Blasberg,Media-042,Media,MALE,USA
"""DŽsirŽe Sadek""",DŽsirŽe Sadek,Media-043,Media,FEMALE,LEBANON
"""Diane Pernet""",Diane Pernet,Media-044,Media,FEMALE,USA
"""Dirk Standen""",Dirk Standen,Media-045,Media,MALE,USA
"""Dylan Jones""",Dylan Jones,Media-046,Media,MALE,UK
"""Elizabeth Saltzman""",Elizabeth Saltzman,Media-047,Media,FEMALE,USA
"""Emily Weiss""",Emily Weiss,Media-048,Media,FEMALE,USA
"""Emmanuelle Alt""",Emmanuelle Alt,Media-049,Media,FEMALE,FRANCE
"""Erika Palomino""",Erika Palomino,Media-050,Media,FEMALE,BRAZIL
"""Evelina Khromtchenko""",Evelina Khromtchenko,Media-051,Media,FEMALE,RUSSIA
"""Franca Sozzani""",Franca Sozzani,Media-052,Media,FEMALE,ITALY
"""Francesco Sourigues""",Francesco Sourigues,Media-053,Media,MALE,SPAIN
"""Garance DorŽ""",Garance DorŽ,Media-054,Media,FEMALE,FRANCE
"""garancedore""",garancedore,Media-055,Media,ORGANISATION,FRANCE
"""Gentlewoman""",Gentlewoman,Media-056,Media,ORGANISATION,NETHERLANDS
"""Gert Jonkers""",Gert Jonkers,Media-057,Media,MALE,NETHERLANDS
"""Ginza Magazine""",Ginza Magazine,Media-058,Media,ORGANISATION,JAPAN
"""Glenda Bailey""",Glenda Bailey,Media-059,Media,FEMALE,UK
"""Gloria Kalil""",Gloria Kalil,Media-060,Media,FEMALE,BRAZIL
"""Godfrey Deeny""",Godfrey Deeny,Media-061,Media,MALE,FRANCE
"""Gogoboi Ye Si""",Gogoboi Ye Si,Media-062,Media,MALE,CHINA
"""Hung Huang""",Hung Huang,Media-063,Media,FEMALE,CHINA
"""hypebeast""",hypebeast,Media-064,Media,ORGANISATION,CHINA
"""InStyle""",InStyle,Media-065,Media,ORGANISATION,USA
"""intothegloss""",intothegloss,Media-066,Media,ORGANISATION,USA
"""jakandjil""",jakandjil,Media-067,Media,ORGANISATION,CANADA
"""Jamila Halfichi""",Jamila Halfichi,Media-068,Media,FEMALE,UK
"""Jefferson Hack""",Jefferson Hack,Media-069,Media,MALE,UK
"""Jeremy Langmead""",Jeremy Langmead,Media-070,Media,MALE,UK
"""Jessica Michault""",Jessica Michault,Media-071,Media,FEMALE,FRANCE
"""Jim Nelson""",Jim Nelson,Media-072,Media,MALE,USA
"""Jo-Ann Furniss""",Jo-Ann Furniss,Media-073,Media,FEMALE,UK
"""Joe Kazuaki""",Joe Kazuaki,Media-074,Media,MALE,JAPAN
"""Joe Zee""",Joe Zee,Media-075,Media,MALE,CANADA
"""Joerg Koch""",Joerg Koch,Media-076,Media,MALE,GERMANY
"""Jonathan Wingfield""",Jonathan Wingfield,Media-077,Media,MALE,UK
"""Jop van Bennekom""",Jop van Bennekom,Media-078,Media,MALE,NETHERLANDS
"""Karchun Leung""",Karchun Leung,Media-079,Media,MALE,CHINA
"""Katie Grand""",Katie Grand,Media-080,Media,FEMALE,UK
"""Kelly TalamasNew""",Kelly TalamasNew,Media-081,Media,FEMALE,USA
"""Kevin Ma""",Kevin Ma,Media-082,Media,MALE,CHINA
"""Kim Hastreiter""",Kim Hastreiter,Media-083,Media,FEMALE,USA
"""Kristina O'Neill""",Kristina O'Neill,Media-084,Media,FEMALE,USA
"""Laurence Bena•m""",Laurence Bena•m,Media-085,Media,FEMALE,FRANCE
"""Leaf Greener""",Leaf Greener,Media-086,Media,FEMALE,CHINA
"""Leandra Medine""",Leandra Medine,Media-087,Media,FEMALE,USA
"""Lilian Pacce""",Lilian Pacce,Media-088,Media,FEMALE,BRAZIL
"""Lisa Armstrong""",Lisa Armstrong,Media-089,Media,FEMALE,UK
"""Lorraine Candy""",Lorraine Candy,Media-090,Media,FEMALE,UK
"""Lynn Yaeger""",Lynn Yaeger,Media-091,Media,FEMALE,USA
"""manrepeller""",manrepeller,Media-092,Media,ORGANISATION,USA
"""Margaret Zhang""",Margaret Zhang,Media-093,Media,FEMALE,AUSTRALIA
"""Miroslava Duma""",Miroslava Duma,Media-094,Media,FEMALE,RUSSIA
"""Misha Janette""",Misha Janette,Media-095,Media,FEMALE,USA
"""Mitsuko Watanabe""",Mitsuko Watanabe,Media-096,Media,FEMALE,JAPAN
"""Nowfashion""",Nowfashion,Media-097,Media,ORGANISATION,FRANCE
"""Olivier Zahm""",Olivier Zahm,Media-098,Media,MALE,FRANCE
"""Penny Martin""",Penny Martin,Media-099,Media,FEMALE,UK
"""Philippe von Borries""",Philippe von Borries,Media-100,Media,MALE,USA
"""Refinery 29""",Refinery 29,Media-101,Media,ORGANISATION,USA
"""Robbie Myers""",Robbie Myers,Media-102,Media,FEMALE,USA
"""Robert Rabensteiner""",Robert Rabensteiner,Media-103,Media,MALE,ITALY
"""Sara Maino""",Sara Maino,Media-104,Media,FEMALE,ITALY
"""Sarah Mower""",Sarah Mower,Media-105,Media,FEMALE,UK
"""sartorialist"" OR ""thesartorialist""",sartorialist OR thesartorialist,Media-106,Media,ORGANISATION,USA
"""Scott Schuman""",Scott Schuman,Media-107,Media,MALE,USA
"""Shaway YehNew""",Shaway YehNew,Media-108,Media,FEMALE,CHINA
"""Stefano Tonchi""",Stefano Tonchi,Media-109,Media,MALE,ITALY
"""Stephan Moskovic""",Stephan Moskovic,Media-110,Media,MALE,FRANCE
"""Styledotcom""",Styledotcom,Media-111,Media,ORGANISATION,
"""Su Mang""",Su Mang,Media-113,Media,FEMALE,CHINA
"""Susanna Lau""",Susanna Lau,Media-114,Media,FEMALE,UK
"""Suzy Menkes""",Suzy Menkes,Media-115,Media,FEMALE,UK
"""theblondesalad""",theblondesalad,Media-116,Media,ORGANISATION,ITALY
"""Tim Blanks""",Tim Blanks,Media-117,Media,MALE,AUSTRALIA
"""Tina Leung""",Tina Leung,Media-118,Media,FEMALE,CHINA
"""tokyofashiondiaries""",tokyofashiondiaries,Media-119,Media,ORGANISATION,USA
"""Tommy Ton""",Tommy Ton,Media-120,Media,MALE,CANADA
"""Toshiko Nakashima""",Toshiko Nakashima,Media-121,Media,FEMALE,JAPAN
"""Vanessa Friedman""",Vanessa Friedman,Media-122,Media,FEMALE,USA
"""Vanity Fair""",Vanity Fair,Media-123,Media,ORGANISATION,USA
"""Virginie Mouzat""",Virginie Mouzat,Media-124,Media,FEMALE,FRANCE
"""Vogue""",Vogue,Media-125,Media,ORGANISATION,
"""GARY PEPPER GIRL""","""GARY PEPPER GIRL""",Media-126,Media,ORGANISATION,AUSTRALIA
songofstyle,@songofstyle,Media-127,Media,ORGANISATION,USA
rewardstyle,rewardstyle,Media-128,Media,ORGANISATION,USA
"""Aimee Song""","""Aimee Song""",Media-129,Media,FEMALE,USA
"""Aishwarya Subramanyam""","""Aishwarya Subramanyam""",Media-130,Media,FEMALE,INDIA
"""Albert Kriemler""","""Albert Kriemler""",Media-131,Media,MALE,SWITZERLAND
"""Jessica Diehl""","""Jessica Diehl""",Media-132,Media,FEMALE,GERMANY
"""Kullawit 'Ford' Laosuksri"" OR (Kullawit AND Laosuksri)","""Kullawit 'Ford' Laosuksri""",Media-133,Media,MALE,THAILAND
"""Matthew Schneier""","""Matthew Schneier""",Media-134,Media,MALE,USA
"""Mickey Boardman""","""Mickey Boardman""",Media-135,Media,MALE,USA
"""Nicole Warne""","""Nicole Warne""",Media-136,Media,FEMALE,AUSTRALIA
"""Sally Singer""","""Sally Singer""",Media-137,Media,FEMALE,USA
"""Th‡ssia Naves"" OR ""Thassia Naves""","""Th‡ssia Naves"" OR ""Thassia Naves""",Media-138,Media,FEMALE,BRAZIL
"""Simone Marchetti""","""Simone Marchetti""",Media-139,Media,MALE,ITALY
"""Tim Lim""","""Tim Lim""",Media-140,Media,MALE,CANADA
"""Xiao Xue""","""Xiao Xue""",Media-141,Media,FEMALE,CHINA
"""Alexa Chung""",,Models-001,Models,FEMALE,UK
"""Alexia Niedzielski""",,Models-002,Models,FEMALE,FRANCE
"""Elizabeth Von Guttman""",,Models-003,Models,FEMALE,FRANCE
"""Arizona Muse""",,Models-004,Models,FEMALE,USA
"""Binx Walton""",,Models-005,Models,FEMALE,USA
"""Cara Delevingne""",,Models-006,Models,FEMALE,UK
"""Chlo‘ Sevigny""",,Models-007,Models,FEMALE,USA
"""Coco Rocha""",,Models-008,Models,FEMALE,CANADA
"""Daria Werbowy""",,Models-009,Models,FEMALE,UKRAINE
"""Dasha Zhukova""",,Models-010,Models,FEMALE,RUSSIA
"""David Beckham""",,Models-011,Models,MALE,UK
"""David Gandy""",,Models-012,Models,MALE,UK
"""Edie Campbell""",,Models-013,Models,FEMALE,UK
"""Fan Bingbing""",,Models-014,Models,FEMALE,CHINA
"""Fei Fei Sun""",,Models-015,Models,FEMALE,CHINA
"""Freja Beha Erichsen""",,Models-016,Models,FEMALE,DENMARK
"""Gisele Bźndchen""",,Models-017,Models,FEMALE,BRAZIL
"""Helena Bordon""",,Models-018,Models,FEMALE,BRAZIL
"""Iris Apfel""",,Models-019,Models,FEMALE,USA
"""Joan Smalls""",,Models-020,Models,FEMALE,PUERTO RICA
"""Jourdan Dunn""",,Models-021,Models,FEMALE,UK
"""Julia Nobis""",,Models-022,Models,FEMALE,AUSTRALIA
"""Kangana Ranaut""",,Models-023,Models,FEMALE,INDIA
"""Kanye West""",,Models-024,Models,MALE,USA
"""Karen Elson""",,Models-025,Models,FEMALE,UK
"""Karlie Kloss""",,Models-026,Models,FEMALE,USA
"""Kate Moss""",,Models-027,Models,FEMALE,UK
"""Kendall Jenner""",,Models-028,Models,FEMALE,USA
"""Kiko Mizuhara""",,Models-029,Models,FEMALE,USA
"""Liu Wen""",,Models-030,Models,FEMALE,CHINA
"""Liya Kebede""",,Models-031,Models,FEMALE,ETHIOPIA
"""Lupita Nyong'o""",,Models-032,Models,FEMALE,KENYA
"""Margherita Missoni""",,Models-033,Models,FEMALE,ITALY
"""Miranda Kerr""",,Models-034,Models,FEMALE,AUSTRALIA
"""Naomi Campbell""",,Models-035,Models,FEMALE,UK
"""Natalia Vodianova""",,Models-036,Models,FEMALE,RUSSIA
"""Razane Jammal""",,Models-037,Models,FEMALE,LEBANON
"""Rinko Kikuchi""",,Models-038,Models,FEMALE,JAPAN
"""Shala Monroque""",,Models-039,Models,FEMALE,USA
"""Sonam Kapoor""",,Models-040,Models,FEMALE,INDIA
"""Sui He""",,Models-041,Models,FEMALE,CHINA
"""Suki Waterhouse""",,Models-042,Models,FEMALE,UK
"""Tilda Swinton""",,Models-043,Models,FEMALE,UK
"""Zhang Ziy""",,Models-044,Models,FEMALE,CHINA
"""Alicia Vikander""",,Models-045,Models,FEMALE,SWEDEN
"""Amal Clooney""",,Models-046,Models,FEMALE,LEBANON
"""Anna Cleveland""",,Models-047,Models,FEMALE,NETHERLANDS
"""Anna Ewers""",,Models-048,Models,FEMALE,GERMANY
"""Bhumika Arora""",,Models-049,Models,FEMALE,INDIA
"""Caitlyn Jenner""",,Models-050,Models,FEMALE,USA
G-Dragon OR gdragon,,Models-051,Models,MALE,KOREA
"""Gigi Hadid""",,Models-052,Models,FEMALE,USA
"""Li Yuchun""",,Models-053,Models,FEMALE,CHINA
"""Lucky Blue Smith""",,Models-054,Models,MALE,USA
"""Mademoiselle Yulia""",,Models-055,Models,FEMALE,JAPAN
"""Mica Arganaraz""",,Models-056,Models,FEMALE,ARGENTINA
Rihanna,,Models-057,Models,FEMALE,USA
"""10 Corso Como""",,Retailers-001,Retailers,ORGANISATION,ITALY
"""Al Ostoura""",,Retailers-002,Retailers,ORGANISATION,KUWAIT
"""Barneys New York""",,Retailers-003,Retailers,ORGANISATION,USA
"""Bergdorf Goodman""",,Retailers-004,Retailers,ORGANISATION,USA
"""Bungalow Eight""",,Retailers-005,Retailers,ORGANISATION,INDIA
"""DŐNA""",,Retailers-006,Retailers,ORGANISATION,SAUDI ARABIA
"""Dover Street Market""",,Retailers-007,Retailers,ORGANISATION,UK
"""Holt Renfrew""",,Retailers-008,Retailers,ORGANISATION,CANADA
"""L'Eclaireur""",,Retailers-009,Retailers,ORGANISATION,FRANCE
"""Lane Crawford""",,Retailers-010,Retailers,ORGANISATION,CHINA
"""le mill""",,Retailers-011,Retailers,ORGANISATION,INDIA
"""Luisa Via Roma""",,Retailers-012,Retailers,ORGANISATION,ITALY
"""Merchants on Long""",,Retailers-013,Retailers,ORGANISATION,SOUTH AFRICA
"""Neiman Marcus""",,Retailers-014,Retailers,ORGANISATION,USA
"""Nordstrom""",,Retailers-015,Retailers,ORGANISATION,USA
"""Printemps""",,Retailers-016,Retailers,ORGANISATION,FRANCE
"""Saks Fifth Avenue""",,Retailers-017,Retailers,ORGANISATION,USA
"""Selfridges""",,Retailers-018,Retailers,ORGANISATION,UK
"""United Arrows""",,Retailers-019,Retailers,ORGANISATION,JAPAN
"""Al-Othman""",,Retailers-020,Retailers,ORGANISATION,KUWAIT
"""MyTheresa""",,Retailers-021,Retailers,ORGANISATION,GERMANY
"""La Rinascente""",,Retailers-022,Retailers,ORGANISATION,ITALY
BABOCHKA,,Retailers-023,Retailers,ORGANISATION,RUSSIA
"""Adrian Joffe""",,Retailers-Personal-Names-001,Retailers-Personal-Names,MALE,SOUTH AFRICA
"""Alannah Weston""",,Retailers-Personal-Names-002,Retailers-Personal-Names,FEMALE,CANADA
"""Alla Verber""",,Retailers-Personal-Names-003,Retailers-Personal-Names,FEMALE,RUSSIA
"""Andrea Panconesi""",,Retailers-Personal-Names-004,Retailers-Personal-Names,MALE,ITALY
"""Andrew Keith""",,Retailers-Personal-Names-005,Retailers-Personal-Names,MALE,UK
"""Armand Hadida""",,Retailers-Personal-Names-006,Retailers-Personal-Names,MALE,FRANCE
"""Ayo Amusan""",,Retailers-Personal-Names-007,Retailers-Personal-Names,FEMALE,NIGERIA
"""Carla Sozzani""",,Retailers-Personal-Names-008,Retailers-Personal-Names,FEMALE,ITALY
"""Cecilia Morelli Parikh""",,Retailers-Personal-Names-009,Retailers-Personal-Names,FEMALE,INDIA
"""Claire Distenfeld""",,Retailers-Personal-Names-010,Retailers-Personal-Names,FEMALE,USA
"""Claudio Antonioli""",,Retailers-Personal-Names-011,Retailers-Personal-Names,MALE,ITALY
"""Deena Aljuhani Abdulaziz""",,Retailers-Personal-Names-012,Retailers-Personal-Names,FEMALE,SAUDI ARABIA
"""Dennis Freedman""",,Retailers-Personal-Names-013,Retailers-Personal-Names,MALE,USA
"""Ed Burstell""",,Retailers-Personal-Names-014,Retailers-Personal-Names,MALE,USA
"""Hanneli Rupert""",,Retailers-Personal-Names-015,Retailers-Personal-Names,FEMALE,SOUTH AFRICA
"""Hirofumi Kurino""",,Retailers-Personal-Names-016,Retailers-Personal-Names,MALE,JAPAN
"""Ikram Goldman""",,Retailers-Personal-Names-017,Retailers-Personal-Names,FEMALE,USA
"""Jeffrey Kalinsky""",,Retailers-Personal-Names-018,Retailers-Personal-Names,MALE,USA
"""Jim Gold""",,Retailers-Personal-Names-019,Retailers-Personal-Names,MALE,USA
"""Joan Burstein""",,Retailers-Personal-Names-020,Retailers-Personal-Names,FEMALE,UK
"""Joshua Shulman""",,Retailers-Personal-Names-021,Retailers-Personal-Names,MALE,USA
"""Julie Leymarie""",,Retailers-Personal-Names-022,Retailers-Personal-Names,FEMALE,INDIA
"""Laure Heriard Dubreuil""",,Retailers-Personal-Names-023,Retailers-Personal-Names,FEMALE,FRANCE
"""Linda Fargo""",,Retailers-Personal-Names-024,Retailers-Personal-Names,FEMALE,USA
"""Maithili Ahluwalia""",,Retailers-Personal-Names-025,Retailers-Personal-Names,FEMALE,INDIA
"""Maria Luisa Poumaillou""",,Retailers-Personal-Names-026,Retailers-Personal-Names,FEMALE,VENEZUELA
"""Marigay McKee""",,Retailers-Personal-Names-027,Retailers-Personal-Names,FEMALE,UK
"""Mark Derbyshire""",,Retailers-Personal-Names-028,Retailers-Personal-Names,MALE,CANADA
"""Mark Lee""",,Retailers-Personal-Names-029,Retailers-Personal-Names,MALE,USA
"""Najla Maatouk""",,Retailers-Personal-Names-030,Retailers-Personal-Names,FEMALE,KUWAIT
"""Natalie Klein""",,Retailers-Personal-Names-031,Retailers-Personal-Names,FEMALE,BRAZIL
"""Noor Al-Sabah""",,Retailers-Personal-Names-032,Retailers-Personal-Names,FEMALE,KUWAIT
"""Paula Reed""",,Retailers-Personal-Names-033,Retailers-Personal-Names,FEMALE,UK
"""Pete Nordstrom""",,Retailers-Personal-Names-034,Retailers-Personal-Names,MALE,USA
"""Ron Frasch""",,Retailers-Personal-Names-035,Retailers-Personal-Names,MALE,USA
"""Sarah Andelman""",,Retailers-Personal-Names-036,Retailers-Personal-Names,FEMALE,FRANCE
"""Sham Kar Wai""",,Retailers-Personal-Names-037,Retailers-Personal-Names,MALE,CHINA
"""Tayo Amusan""",,Retailers-Personal-Names-038,Retailers-Personal-Names,MALE,NIGERIA
"""Tiziana Cardini""",,Retailers-Personal-Names-039,Retailers-Personal-Names,FEMALE,ITALY
"""Tommy Perse""",,Retailers-Personal-Names-040,Retailers-Personal-Names,MALE,USA
"""Antonia Giacinti""",,Retailers-Personal-Names-041,Retailers-Personal-Names,FEMALE,ITALY
"""Maurizio Purificato""",,Retailers-Personal-Names-042,Retailers-Personal-Names,MALE,ITALY
"""Dato' Farah Khan""",,Retailers-Personal-Names-043,Retailers-Personal-Names,FEMALE,MALAYSIA
"""Hatulia Avsadjanashvili""",,Retailers-Personal-Names-044,Retailers-Personal-Names,FEMALE,RUSSIA
"""Johnathan Hanh Nguyen""",,Retailers-Personal-Names-045,Retailers-Personal-Names,MALE,VIETNAM
